uf;total_operacoes;carteira_ativa_total;inadimplida_total;ativo_problematico_total;vencido_acima_15_total;taxa_inadimplencia_pct;taxa_ativo_problematico_pct
AC;2546391;1654357249513;75434149180;118978103668;51418063133;4.56;7.19
AL;11071910;4928677095369;242770181618;380176514759;183379504950;4.93;7.71
AM;11607750;6501182612697;285934541883;470651667843;204041571757;4.4;7.24
AP;2374533;1521346243736;73060928364;119352755780;44145855876;4.8;7.85
BA;49359015;23126484953237;1079510498992;1894990081731;812073593552;4.67;8.19
CE;29223827;13723596191124;603792126435;1043588267664;480284405212;4.4;7.6
DF;14316547;15213773578810;456988446186;776111291468;303606059539;3.0;5.1
ES;14910906;10252832918380;373717883709;779915410258;267404094925;3.65;7.61
GO;27434580;28736689875041;1327779522843;2606262504233;1066491830944;4.62;9.07
MA;19136455;8894993376660;554837649490;973564771671;389619567071;6.24;10.95
MG;78072153;55581901294472;2039576263866;3715764264683;1511231923103;3.67;6.69
MS;11874416;12074645316487;555833656557;1246798524672;484101467793;4.6;10.33
MT;14312058;22264406332890;929155117533;1997802930144;771390863875;4.17;8.97
PA;24786695;12956170496292;640473907306;1050348317357;455933701649;4.94;8.11
PB;13223666;6365625162205;288726490649;513378576936;213825691806;4.54;8.06
PE;31194614;13614771433210;696291019215;1111232458000;536887909175;5.11;8.16
PI;9960004;5487214553049;226550908342;359826192702;148690666164;4.13;6.56
PR;48762261;45820361389763;1564148401107;2980508883524;1179326373719;3.41;6.5
RJ;69966311;46837597643522;1742949488715;3682292822579;1247719278646;3.72;7.86
RN;12355814;5657608712438;290900721026;487461570025;214765047425;5.14;8.62
RO;6109677;5544228483344;240112803637;456798835181;203816148436;4.33;8.24
RR;2550782;1238355265828;65610751248;106171244679;42415044426;5.3;8.57
RS;51045116;44035281210623;1394362554730;2900673743692;1066843124220;3.17;6.59
SC;33694660;33844774960701;1030597780791;1855436144183;671273842693;3.05;5.48
SE;8249739;3739293434687;188047843717;299695887482;138156053863;5.03;8.01
SP;223333090;165820210416998;5836264591491;11976559303837;4381044738477;3.52;7.22
TO;5111526;4659345939972;265402484024;496162588813;220187712898;5.7;10.65
