timestamp;faixa_etaria;situacao_profissional;renda_mensal;controla_gastos;como_controla_gastos;freq_registro_gastos;ultrapassa_orcamento;planeja_gastos;tem_reserva_emergencia;faz_investimento;tipo_investimento;nota_educ_financeira;interesse_aprender;fez_curso_financas;fontes_informacao;educ_financeira_escola;se_sim_o_quao_eficiente_voce_sentiu_que_foram_essas_aulas_nao_responda_caso_nao_tenha_tido_aulas;sente_falta_educ;acredita_ferramentas_digitais;entende_conceitos_basicos;temas_dificeis;dificuldade_aprendizado;usou_app_financeiro;se_sim_qual_foi_sua_experiencia_nao_responda_caso_nao_tenha_tido_experiencia;desejo_sistema;formato_aprendizado;maior_dificuldade_dinheiro;dashboard_ajudaria;tipo_ajuda_util;esta_inadimplente;tipos_pendencias;freq_dificuldade_pagamento;voce_teria_interesse_em_usar_um_app_site_de_controle_financeiro_que_alem_de_organizar_seus_gastos_tambem_ofereca_conteudos_e_orientacoes_para_melhorar_sua_educacao_financeira
2026-05-05 19:43:54;18 A 24 Anos;Estudante;Não Possuo Renda Fixa;Não;Não controlo;Não registro;Não tenho orçamento mensal;Não possuo renda fixa, portanto não planejo;Não;Não;Não se aplica;2;Sim;Não;Youtube, Redes Sociais;Sim;2.0;Sim;Sim;Muito pouco;Investimentos, Planejamento financeiro, Dívidas;Não se aplica;Não;Não se aplica;Acesso a dicas e educação financeira;Vídeos, Aplicativos, Cursos online;Entender finanças;Talvez;Conteúdos educativos;Não;Não possuo pendências;Nunca;Sim
2026-05-05 19:57:02;18 A 24 Anos;Estudante;Até 1 Salário Mínimo;Não;Não controlo;Raramente;Nunca;Raramente;Sim;Sim;no Banco do Brasil mesmo ;3;Sim;Não;Não busco informações;Sim;1.0;Sim;Sim;Muito pouco;Investimentos;Falta de interesse no assunto ;Não;Não se aplica;Não se aplica;Aplicativos, Redes sociais;Economizar;Sim;Gráficos e visualização de gastos;Não;Não possuo pendências;Nunca;Sim
2026-05-05 19:58:12;18 A 24 Anos;Estagiário;1 A 2 Salários Mínimos;Sim;Planilhas;Raramente;Raramente;Às vezes;Sim;Sim;Açoes e renda passiva;4;Sim;Sim;Youtube, Redes Sociais;Não;2.0;Parcialmente;Sim;Sim, bem;Investimentos, Juros;Não se aplica;Não;Não se aplica;Não se aplica;Vídeos, Redes sociais;Controlar gastos, Entender finanças;Sim;Alertas de limite;Não;Não possuo pendências;Nunca;Talvez
2026-05-05 20:01:01;18 A 24 Anos;Estagiário;1 A 2 Salários Mínimos;Não;Não controlo;Não registro;Nunca;Às vezes;Estou Construindo;Sim;ouro,bitcoin, eth e solana;4;Sim;Não;Youtube, Redes Sociais;Não;1.0;Sim;Sim;Parcialmente;Juros;Não se aplica;Não;Não se aplica;Não se aplica;Vídeos, Aplicativos;Controlar gastos, Economizar;Sim;Gráficos e visualização de gastos;Não;Não possuo pendências;Não pago contas;Sim
2026-05-05 20:01:32;18 A 24 Anos;Estagiário;1 A 2 Salários Mínimos;Às vezes;Planilhas;Raramente;Frequentemente;Raramente;Não;Não;Não se aplica;3;Talvez;Não;Youtube, Redes Sociais;Sim;3.0;Sim;Talvez;Sim, bem;Planejamento financeiro, Dívidas, Juros;Não se aplica;Não;Não se aplica;Não se aplica;Vídeos;Controlar gastos, Planejar o mês;Não;Alertas de limite;Não;Cartão de crédito, Empréstimos pessoais;Nunca;Talvez
2026-05-05 20:02:25;18 A 24 Anos;Estudante;Não Possuo Renda Fixa;Sim;Aplicativos;Semanalmente;Raramente;Possuo renda mas não planejo;Estou Construindo;Não;Não se aplica;1;Sim;Não;Redes Sociais;Não;2.0;Sim;Sim;Parcialmente;Investimentos;Não se aplica;Não;Não se aplica;Não se aplica;Vídeos;Entender finanças;Talvez;Gráficos e visualização de gastos;Não;Não possuo pendências;Não pago contas;Sim
2026-05-05 20:03:22;18 A 24 Anos;Estagiário;Até 1 Salário Mínimo;Às vezes;Anotações (caderno/bloco de notas);Raramente;Frequentemente;Às vezes;Não;Não;Não se aplica;3;Sim;Sim;Youtube;Não;1.0;Sim;Sim;Parcialmente;Planejamento financeiro, Juros;Buscar mais conhecimento;Não;Não se aplica;Consegui importa o extrato do banco e jogar no sistema e preencher automático;Vídeos, Aplicativos, Redes sociais;Controlar gastos, Economizar;Sim;Alertas de limite;Não;Não possuo pendências;Nunca;Sim
2026-05-05 20:03:47;18 A 24 Anos;Estudante;Até 1 Salário Mínimo;Sim;Anotações (caderno/bloco de notas);Semanalmente;Frequentemente;Não possuo renda fixa, portanto não planejo;Sim;Sim;CDB, tesouro direto, LCI/LCA e algumas ações ;3;Sim;Sim;Youtube, Redes Sociais;Sim;2.0;Sim;Sim;Sim, bem;Investimentos, Planejamento financeiro;falta de conteúdo centralizado e acessível e democrático. Acaba que uma informação está diluída em vários vídeos para reter atenção, aí depois quer vender curso ou plataforma.  Isso desistimula a assistir, pois toda hora alguém quer vender alguma coisa;Sim;2.0;ter a possibilidade de escolher como os meus dados são tratados e não serem usados por IA;Vídeos, Cursos online, Artigos;Planejar o mês, Entender finanças;Sim;Gráficos e visualização de gastos;Não;Não possuo pendências;Nunca;Sim
2026-05-05 20:04:18;18 A 24 Anos;Estudante;Até 1 Salário Mínimo;Sim;Aplicativos;Semanalmente;Nunca;Raramente;Sim;Não;Não se aplica;2;Sim;Sim;Não busco informações;Não;1.0;Sim;Sim;Muito pouco;Controle de gastos, Investimentos, Dívidas, Juros;Falta de informação rápida, direta e simplificada. Além de fontes confiáveis ;Não;Não se aplica;Não se aplica;Vídeos, Aplicativos;Controlar gastos, Economizar, Planejar o mês, Entender finanças;Talvez;Conteúdos educativos;Não;Não possuo pendências;Nunca;Sim
2026-05-05 20:06:41;18 A 24 Anos;Estudante;Não Possuo Renda Fixa;Sim;Anotações (caderno/bloco de notas);Semanalmente;Às vezes;Raramente;Não;Não;Não se aplica;4;Sim;Não;Não busco informações;Sim;1.0;Sim;Sim;Muito pouco;Investimentos, Planejamento financeiro, Juros;Conceitos muito complicados e a necessidade de estudar e entender diversos métodos diferentes para investimentos.;Não;Não se aplica;Dicas de como lidar com dividas, como evitar dividas. Um agente que me aconselhe sobre possíveis investimentos e que me dê opiniões relevantes sobre gastos e onde deixar meu dinheiro.;Vídeos, Redes sociais;Controlar gastos, Entender finanças;Sim;Gráficos e visualização de gastos;Não;Cartão de crédito;Às vezes;Sim
