controla_gastos;como_controla_gastos;freq_registro_gastos;ultrapassa_orcamento;planeja_gastos;maior_dificuldade_dinheiro;freq_dificuldade_pagamento
Não;Não controlo;Não registro;Não tenho orçamento mensal;Não possuo renda fixa, portanto não planejo;Entender finanças;Nunca
Não;Não controlo;Raramente;Nunca;Raramente;Economizar;Nunca
Sim;Planilhas;Raramente;Raramente;Às vezes;Controlar gastos, Entender finanças;Nunca
Não;Não controlo;Não registro;Nunca;Às vezes;Controlar gastos, Economizar;Não pago contas
Às vezes;Planilhas;Raramente;Frequentemente;Raramente;Controlar gastos, Planejar o mês;Nunca
Sim;Aplicativos;Semanalmente;Raramente;Possuo renda mas não planejo;Entender finanças;Não pago contas
Às vezes;Anotações (caderno/bloco de notas);Raramente;Frequentemente;Às vezes;Controlar gastos, Economizar;Nunca
Sim;Anotações (caderno/bloco de notas);Semanalmente;Frequentemente;Não possuo renda fixa, portanto não planejo;Planejar o mês, Entender finanças;Nunca
Sim;Aplicativos;Semanalmente;Nunca;Raramente;Controlar gastos, Economizar, Planejar o mês, Entender finanças;Nunca
Sim;Anotações (caderno/bloco de notas);Semanalmente;Às vezes;Raramente;Controlar gastos, Entender finanças;Às vezes
Não;Não controlo;Não registro;Nunca;Sempre;Economizar;Às vezes
Sim;Anotações (caderno/bloco de notas);Raramente;Raramente;Sempre;Entender finanças;Não pago contas
Às vezes;Não controlo;Raramente;Raramente;Raramente;Investimentos;Nunca
Sim;Planilhas;Semanalmente;Às vezes;Sempre;Entender finanças;Raramente
Não;Não controlo;Raramente;Não tenho orçamento mensal;Não possuo renda fixa, portanto não planejo;Controlar gastos, Entender finanças;Não pago contas
Às vezes;na cabeça ;Raramente;Às vezes;Às vezes;Controlar gastos, Economizar;Raramente
Não;Não controlo;Raramente;Às vezes;Raramente;Economizar;Raramente
Não;Não controlo;Raramente;Às vezes;Não possuo renda fixa, portanto não planejo;Economizar, Entender finanças;Nunca
Às vezes;Planilhas;Semanalmente;Às vezes;Às vezes;Controlar gastos, Economizar;Raramente
