modalidade;porte;carteira_ativa_total;inadimplida_total;taxa_inadimplencia_pct
PF - Cartão de crédito;PF - Acima de 20 salários mínimos            ;4917621646365;146828342712;2.99
PF - Cartão de crédito;PF - Até 1 salário mínimo                    ;5944885526180;821403878447;13.82
PF - Cartão de crédito;PF - Indisponível                            ;1763524234313;185959613587;10.54
PF - Cartão de crédito;PF - Mais de 1 a 2 salários mínimos          ;10764500182049;1342592783593;12.47
PF - Cartão de crédito;PF - Mais de 10 a 20 salários mínimos        ;7746034428542;319913155286;4.13
PF - Cartão de crédito;PF - Mais de 2 a 3 salários mínimos          ;6845553006574;670006013869;9.79
PF - Cartão de crédito;PF - Mais de 3 a 5 salários mínimos          ;8294526160738;773033833563;9.32
PF - Cartão de crédito;PF - Mais de 5 a 10 salários mínimos         ;10242706160099;651610903305;6.36
PF - Cartão de crédito;PF - Sem rendimento                          ;274587394276;59720608032;21.75
PF - Empréstimo com consignação em folha;PF - Acima de 20 salários mínimos            ;2056201906277;36400389845;1.77
PF - Empréstimo com consignação em folha;PF - Até 1 salário mínimo                    ;9902955268716;322999959085;3.26
PF - Empréstimo com consignação em folha;PF - Indisponível                            ;2507620678608;59536888287;2.37
PF - Empréstimo com consignação em folha;PF - Mais de 1 a 2 salários mínimos          ;12206135199446;370903846573;3.04
PF - Empréstimo com consignação em folha;PF - Mais de 10 a 20 salários mínimos        ;6381573724638;118293022678;1.85
PF - Empréstimo com consignação em folha;PF - Mais de 2 a 3 salários mínimos          ;8273167060807;258932901799;3.13
PF - Empréstimo com consignação em folha;PF - Mais de 3 a 5 salários mínimos          ;10528066341397;299942439992;2.85
PF - Empréstimo com consignação em folha;PF - Mais de 5 a 10 salários mínimos         ;10549744695303;267039108359;2.53
PF - Empréstimo com consignação em folha;PF - Sem rendimento                          ;78366653861;60007471314;76.57
PF - Empréstimo sem consignação em folha;PF - Acima de 20 salários mínimos            ;6041941054516;284993990642;4.72
PF - Empréstimo sem consignação em folha;PF - Até 1 salário mínimo                    ;3264710784002;418477658617;12.82
