faixa_etaria;situacao_profissional;renda_mensal;tem_reserva_emergencia;faz_investimento;tipo_investimento
18 A 24 Anos;Estudante;Não Possuo Renda Fixa;Não;Não;Não se aplica
18 A 24 Anos;Estudante;Até 1 Salário Mínimo;Sim;Sim;no Banco do Brasil mesmo
18 A 24 Anos;Estagiário;1 A 2 Salários Mínimos;Sim;Sim;Açoes e renda passiva
18 A 24 Anos;Estagiário;1 A 2 Salários Mínimos;Estou Construindo;Sim;ouro,bitcoin, eth e solana
18 A 24 Anos;Estagiário;1 A 2 Salários Mínimos;Não;Não;Não se aplica
18 A 24 Anos;Estudante;Não Possuo Renda Fixa;Estou Construindo;Não;Não se aplica
18 A 24 Anos;Estagiário;Até 1 Salário Mínimo;Não;Não;Não se aplica
18 A 24 Anos;Estudante;Até 1 Salário Mínimo;Sim;Sim;CDB, tesouro direto, LCI/LCA e algumas ações 
18 A 24 Anos;Estudante;Até 1 Salário Mínimo;Sim;Não;Não se aplica
18 A 24 Anos;Estudante;Não Possuo Renda Fixa;Não;Não;Não se aplica
18 A 24 Anos;Autônomo / Freelancer;1 A 2 Salários Mínimos;Não;Não;Não se aplica
18 A 24 Anos;Estudante;Não Possuo Renda Fixa;Estou Construindo;Sim;Não se aplica
18 A 24 Anos;Estagiário;1 A 2 Salários Mínimos;Sim;Sim;Selic, CDB e ações 
35 A 44 Anos;Autônomo / Freelancer;Mais De 5 Salários Mínimos;Sim;Sim;Investimento em imóveis
Menos De 18 Anos;Estudante;Não Possuo Renda Fixa;Não;Não;Não se aplica
18 A 24 Anos;Estagiário;Até 1 Salário Mínimo;Estou Construindo;Sim;dupla chance al hilal kkkkk, brincadeira, invisto em ouro
18 A 24 Anos;Estagiário;Não Possuo Renda Fixa;Sim;Não;Não se aplica
25 A 34 Anos;Desempregado;Não Possuo Renda Fixa;Sim;Sim;CDB
18 A 24 Anos;Empregado (Clt);Até 1 Salário Mínimo;Estou Construindo;Não;Não se aplica
18 A 24 Anos;Estudante;Até 1 Salário Mínimo;Sim;Sim;Não se aplica
18 A 24 Anos;Estudante;Não Possuo Renda Fixa;Sim;Não;Não se aplica
18 A 24 Anos;Estagiário;1 A 2 Salários Mínimos;Sim;Sim;Fundos e renda fixa
18 A 24 Anos;Estagiário;Até 1 Salário Mínimo;Estou Construindo;Sim;CDI pos fixado
18 A 24 Anos;Estudante;Até 1 Salário Mínimo;Sim;Sim;Poupança, Bitcoin
18 A 24 Anos;Estudante;Não Possuo Renda Fixa;Não;Não;Não se aplica
18 A 24 Anos;Estudante;Não Possuo Renda Fixa;Sim;Não;Não se aplica
18 A 24 Anos;Estudante;Não Possuo Renda Fixa;Sim;Sim;reserva de emergência em CDB e Tesouro Direito (os mais seguros só pela falta de renda no momento)
45 Ou Mais;Autônomo / Freelancer;Mais De 5 Salários Mínimos;Sim;Sim;Fundos de investimento
18 A 24 Anos;Estudante;1 A 2 Salários Mínimos;Estou Construindo;Sim;Renda fixa
18 A 24 Anos;Estudante;Não Possuo Renda Fixa;Estou Construindo;Não;Não se aplica
45 Ou Mais;Autônomo / Freelancer;2 A 5 Salários Mínimos;Sim;Não;Não se aplica
18 A 24 Anos;Estudante;Não Possuo Renda Fixa;Sim;Sim;Não se aplica
Menos De 18 Anos;Estudante;Não Possuo Renda Fixa;Não;Não;Não se aplica
18 A 24 Anos;Estudante;Até 1 Salário Mínimo;Não;Não;Não se aplica
18 A 24 Anos;Empregado (Clt);2 A 5 Salários Mínimos;Sim;Sim;Renda fixa
18 A 24 Anos;Empresário;1 A 2 Salários Mínimos;Estou Construindo;Não;Não se aplica
18 A 24 Anos;Estagiário;Até 1 Salário Mínimo;Sim;Sim;Caixinha do nubank
18 A 24 Anos;Estudante;Não Possuo Renda Fixa;Estou Construindo;Não;Não se aplica
45 Ou Mais;Empregado (Clt);Mais De 5 Salários Mínimos;Sim;Sim;Cdb
18 A 24 Anos;Autônomo / Freelancer;1 A 2 Salários Mínimos;Sim;Não;Não se aplica
18 A 24 Anos;Estagiário;2 A 5 Salários Mínimos;Estou Construindo;Sim;Não se aplica
18 A 24 Anos;Estudante;Não Possuo Renda Fixa;Não;Sim;Não se aplica
18 A 24 Anos;Empregado (Clt);1 A 2 Salários Mínimos;Estou Construindo;Não;Não se aplica
18 A 24 Anos;Estudante;Não Possuo Renda Fixa;Não;Não;Não se aplica
18 A 24 Anos;Estudante;Não Possuo Renda Fixa;Não;Não;Não.
18 A 24 Anos;Estudante;Não Possuo Renda Fixa;Sim;Sim;Porquinho, no inter 
18 A 24 Anos;Estagiário;Até 1 Salário Mínimo;Não;Não;Não se aplica
18 A 24 Anos;Empregado Sem Vinculo Empregativo;1 A 2 Salários Mínimos;Não;Não;Não se aplica
18 A 24 Anos;Estudante;Até 1 Salário Mínimo;Sim;Sim;Em dolar e em renda variavel
18 A 24 Anos;Autônomo / Freelancer;Não Possuo Renda Fixa;Estou Construindo;Não;Não se aplica
18 A 24 Anos;Estudante;Até 1 Salário Mínimo;Sim;Sim;Tesouro direto e outros
25 A 34 Anos;Desempregado;Até 1 Salário Mínimo;Estou Construindo;Sim;LCI, CDB, os que o banco oferece 
18 A 24 Anos;Estudante;Até 1 Salário Mínimo;Sim;Não;Não se aplica
18 A 24 Anos;Estagiário;1 A 2 Salários Mínimos;Sim;Sim;Renda Fixa, Renda variável, tesouro direto, criptomoeda
18 A 24 Anos;Estudante;Não Possuo Renda Fixa;Sim;Sim;Tesouro Direto
18 A 24 Anos;Estagiário;1 A 2 Salários Mínimos;Sim;Sim;Não se aplica
18 A 24 Anos;Empregado (Clt);Até 1 Salário Mínimo;Estou Construindo;Não;Não se aplica
